indicator,País__ESTANDAR,Sexo,Grupos quinquenales de edad,Años__ESTANDAR,value,unit,notes_ids,source_id
"Población, por grupos de edad, según sexo",Chile,Mujeres,50-54,2025,"635,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,55-59,2020,"576,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,55-59,2025,"611,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,60-64,2020,"505,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,60-64,2025,"561,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,65-69,2020,"420,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,65-69,2025,"484,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,70-74,2020,"322,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,70-74,2025,"392,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,75-79,2020,"227,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,75-79,2025,"288,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,80-84,2020,"164,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,80-84,2025,"186,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,85-89,2020,"109,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,85-89,2025,"117,0","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,90-94,2020,"59,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,90-94,2025,"62,1","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,95-99,2020,"17,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,95-99,2025,"23,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,100 y más,2020,"2,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Chile,Mujeres,100 y más,2025,"4,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,0-4,2020,"1798,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,0-4,2025,"1725,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,5-9,2020,"1805,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,5-9,2025,"1793,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,10-14,2020,"1865,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,10-14,2025,"1801,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,15-19,2020,"2044,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,15-19,2025,"1845,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,20-24,2020,"2200,7","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,20-24,2025,"2011,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,25-29,2020,"2233,2","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,25-29,2025,"2172,5","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,30-34,2020,"2099,6","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,30-34,2025,"2210,9","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,35-39,2020,"1933,4","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,35-39,2025,"2080,3","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,40-44,2020,"1739,8","Miles de personas, a mitad del año",,6547
"Población, por grupos de edad, según sexo",Colombia,Mujeres,40-44,2025,"1914,6","Miles de personas, a mitad del año",,6547
